servicio,imagen_antes,imagen_despues
cambio de capellada,17-antes.jpg,17-despues.jpg
cambio de cordonera en cuero,34-antes.jpg,34-despues.jpg
cambio de pilon y cuello,84-antes.jpg,84-despues.jpg
remonta prefabricada de guayos,19-antes.jpg,19-despues.jpg
teñida industrial de bolsos de cuero,IMG-20260908-WA0074.jpg,IMG-20260908-WA0074.jpg
remonta neolite dama (cambio de suelas),133-antes.jpg,133-despues.jpg
camaro de puntera en cuero,5-antes.jpg,5-despues.jpg
teñido de tenis de tela,1-antes.jpg,1-despues.jpg
cambio de tacon,7-antes.jpg,7-despues.jpg
cambio de pilon,2-antes.jpg,2-despues.jpg
cambio de tapete y suela eva,67-antes.jpg,67-despues.jpg
cambio de plantillas abollonadas y forradas de sandalias,10-antes.jpg,10-despues.jpg
teñida de tenis de tela,11-antes.jpg,11-despues.jpg
blanqueamiento de suela,4-antes.jpg,4-despues.jpg
cambio de capellada en cuero,8-antes.jpg,8-despues.jpg
teñido de zapatos de cuero,9-antes.jpg,9-despues.jpg
reconstruccion de botin y adaptacion de pieza,14-antes.jpg,14-despues.jpg
teñido de zapatos de cuero,16-antes.jpg,16-despues.jpg
cambio de tapete,132-antes.jpg,132-despues.jpg
cambio de tacon y tapas,13-antes.jpg,13-despues.jpg
cambio de cuello y correas de cuero,85-antes.jpg,85-despues.jpg
remonta en crupon,134-antes.jpg,134-despues.jpg
remonta en crupon,15-antes.jpg,15-despues.jpg
remonta en crepe,131-antes.jpg,131-despues.jpg
cambio de pilon y cuello,56-antes.jpg,56-despues.jpg
remonta zapatos de dama,76-antes.jpg,76-despues.jpg
reconstruccion pilon,120-antes.jpg,120-despues.jpg
remonta en crepe habano,135-antes.jpg,135-despues.jpg
remonta sandalias neolite negro,18-antes.jpg,18-despues.jpg
tejida de tenis en malla,119-antes.jpg,119-despues.jpg
"cambio de plantilla, abollonada y forrada en cuero",20-antes.jpg,20-despues.jpg
"cambio de plantilla, abollonada y forrada en cuero",21-antes.jpg,21-despues.jpg
cambio de tapete,IMG-20260908-WA0179.jpg,IMG-20260908-WA0179.jpg
cambio de tapete,IMG-20260908-WA0357.jpg,IMG-20260908-WA0357.jpg
reparacion capellada,23-antes.jpg,23-despues.jpg
protecto en zapatos de dama,129-antes.jpg,129-despues.jpg
remonta en crupon,IMG-20260908-WA0311.jpg,IMG-20260908-WA0311.jpg
teñido de prendas de algodon,70-antes.jpg,70-despues.jpg
reconstruccion y cambio de cuello,108-antes.jpg,108-despues.jpg
teñido de chaquetas de cuero,71-antes.jpg,71-despues.jpg
forro de tacon y cambio de tapas,30-antes.jpg,30-despues.jpg
adaptacion de pieza y reparacion de botas,31-antes.jpg,31-despues.jpg
cambio de cuello y piezas externas,68-antes.jpg,68-despues.jpg
cambio y reparacion de cuello en cuero,IMG-20260908-WA0093.jpg,IMG-20260908-WA0093.jpg
adaptacion de guayos de taches altos y tapete,100-antes.jpg,100-despues.jpg
teñido de bolsos de cuero,136-antes.jpg,136-despues.jpg
teñida de prendas de algodon,96-antes.jpg,96-despues.jpg
reparacion de pilon,22-antes.jpg,22-despues.jpg
cambio de cuello,95-antes.jpg,95-despues.jpg
tapete,53-antes.jpg,53-despues.jpg
teñido de bolsos de cuero,25-antes.jpg,25-despues.jpg
teñido de bolsos de cuero,41-antes.jpg,41-despues.jpg
teñido de bolsos de cuero,45-antes.jpg,45-despues.jpg
teñido de pantalones de algodon,54-antes.jpg,54-despues.jpg
remonta prefabricada,27-antes.jpg,27-despues.jpg
remonta prefabricada,28-antes.jpg,28-despues.jpg
forro de tacon en cascada natural,122-antes.jpg,122-despues.jpg
cambio de tapas,72-antes.jpg,72-despues.jpg
teñido de zapatos de cuero,69-antes.jpg,69-despues.jpg
teñido de tenis de tela,58-antes.jpg,58-despues.jpg
cambio de tapete,65-antes.jpg,65-despues.jpg
forro de tacon en cascara natural y cambio de tapas,48-antes.jpg,48-despues.jpg
forro de tacon en cuero y cambio de tapas,57-antes.jpg,57-despues.jpg
forro de tacon y cambio de tapas en puntilla,86-antes.jpg,86-despues.jpg
reparacion de botas de motociclista,97-antes.jpg,97-despues.jpg
teñido de botas de cuero,82-antes.jpg,82-despues.jpg
teñido de prendas de jean,94-antes.jpg,94-despues.jpg
cambio de cuello,IMG-20260908-WA0371.jpg,IMG-20260908-WA0371.jpg
teñido de botas de cuero,90-antes.jpg,90-despues.jpg
tejido de tenis en lona o malla,99-antes.jpg,99-despues.jpg
tejido de tenis en lona o malla,50-antes.jpg,50-despues.jpg
cambio de tapete,104-antes.jpg,104-despues.jpg
cambio de piezas externas,93-antes.jpg,93-despues.jpg
teñido de bolsos de cuero,89-antes.jpg,89-despues.jpg
cambio de tapete,110-antes.jpg,110-despues.jpg
teñido de zapatos de cuero,127-antes.jpg,127-despues.jpg
remonta prefabricada,102-antes.jpg,102-despues.jpg
lavado especializado de tenis,91-antes.jpg,91-despues.jpg
lavado especializado de tenis,101-antes.jpg,101-despues.jpg
lavado especializado de tenis,49-antes.jpg,49-despues.jpg
blanqueamiento de suelas,51-antes.jpg,51-despues.jpg
cambio de pilon en cuero,IMG-20260908-WA0370.jpg,IMG-20260908-WA0370.jpg
cambio de tapete,106-antes.jpg,106-despues.jpg
reparacion y cambio de pulseras en sandalias de cuero,32-antes.jpg,32-despues.jpg
teñido de bolsos de cuero,116-antes.jpg,116-despues.jpg
remonta de zapatos de hombre,112-antes.jpg,112-despues.jpg
teñido de sandalias de cuero,113-antes.jpg,113-despues.jpg
cambio de tapete especial,117-antes.jpg,117-despues.jpg
adaptación de pulseras a sandalias,81-antes.jpg,81-despues.jpg
teñido de tenis de tela,115-antes.jpg,115-despues.jpg
pega de zapatos,114-antes.jpg,114-despues.jpg
cambio de tapete especial,111-antes.jpg,111-despues.jpg
cambio de tapete,80-antes.jpg,80-despues.jpg
reconstruccion de pilon y cambio de cuello,109-antes.jpg,109-despues.jpg
cambio de cuello en cuero,78-antes.jpg,78-despues.jpg
reconstruccion de pilon y cambio de cuello,IMG-20260908-WA0114.jpg,IMG-20260908-WA0114.jpg
tejido de tenis en lona o malla,IMG-20260908-WA0044.jpg,IMG-20260908-WA0044.jpg
teñido de tenis de tela y cuero,IMG-20260908-WA0207.jpg,IMG-20260908-WA0207.jpg
forro de tacon y cambio de tapas,IMG-20260908-WA0043.jpg,IMG-20260908-WA0043.jpg
protector y tapas boxer en zapatos,IMG-20260908-WA0073.jpg,IMG-20260908-WA0073.jpg
cambio de plantillas estructural y forrado de plantillas,IMG-20260908-WA0040.jpg,IMG-20260908-WA0040.jpg
cambio de capellada en sandalias,IMG-20260908-WA0061.jpg,IMG-20260908-WA0061.jpg
teñido en chaquetas,IMG-20260908-WA0065.jpg,IMG-20260908-WA0065.jpg
cambio de tapete,IMG-20260908-WA0077.jpg,IMG-20260908-WA0077.jpg
teñido de tenis de tela,IMG-20260908-WA0177.jpg,IMG-20260908-WA0177.jpg
reparacion capellada en sandalias,IMG-20260908-WA0193.jpg,IMG-20260908-WA0193.jpg
blanquemiento de suelas,IMG-20260908-WA0201.jpg,IMG-20260908-WA0201.jpg
teñido de jeans,IMG-20260908-WA0080.jpg,IMG-20260908-WA0080.jpg
